variable,column,units,group,var_H,var_L,ratio
Oil price (Brent front-month),brent,$,US (paper),29.155455362627336,4.6983427707325776,6.20547643825513
VIX,vix,vol,US (added),6.043750032849301,1.281066641320649,4.71774834962435
Tel Aviv 125,ta125,pct,Global,3.838655622309135,1.0701556116718511,3.587006955289608
Euro Stoxx 50,stoxx,pct,Global,3.4610608388114623,1.0351320808547446,3.343593443605326
High-yield yield spread,hy,pp,US (paper),0.005444444444444446,0.0017444444444444393,3.121019108280265
Dollar (broad index),dollar,pct,US (paper),0.1473670423315851,0.0584255069695789,2.52230660845299
US energy equities (XLE),energy,pct,Sector,2.9183503398936548,1.2540097861836308,2.327214964386495
Nikkei 225,nikkei,pct,Global,7.957957498200476,3.5034153491506723,2.2714855948010024
US airlines (JETS),airlines,pct,Sector,5.746997779663785,2.796052884481534,2.055396667051753
BBB yield spread,bbb,pp,US (paper),0.00023888888888888888,0.00013888888888888753,1.7200000000000166
S&P 500,spx,pct,US (paper),1.0689093843311601,0.6664165532294049,1.6039658366097076
Swiss franc per dollar,chf,pct,Global,0.2701789929309901,0.18513624230900094,1.459352256270001
Aerospace & defence (ITA),defence,pct,Sector,3.777588927575866,2.6187084015215523,1.4425389727932165
MSCI EM equities,em,pct,Global,6.20952126977463,5.057938606053911,1.2276782605353047
Two-year Treasury yield,y2,pp,US (paper),0.0025666666666666646,0.0024333333333333277,1.0547945205479468
Gold price,gold,$,US (paper),8242.092014991575,7981.637328058481,1.0326317366008972
Break-even inflation (10-year),breakeven10,pp,US (paper),0.00046666666666666807,0.000483333333333331,0.9655172413793179
Ten-year Treasury yield,y10,pp,US (paper),0.0021888888888888917,0.0026055555555555567,0.8400852878464826
