variable,column,units,coef__Heuristic z-score (headline results),t__Heuristic z-score (headline results),coef__Supervised classifier (CV-predicted),t__Supervised classifier (CV-predicted),coef__Unsupervised GMM (NLP-only),t__Unsupervised GMM (NLP-only),"coef__Market-composite (oracle, for reference only)","t__Market-composite (oracle, for reference only)"
Two-year Treasury yield,y2,pp,0.018079962347265607,1.6833306006157815,0.1648165097301499,0.28338791553213744,0.009932099389705216,1.1687075536795128,0.01503695315302117,1.4545345637822347
Ten-year Treasury yield,y10,pp,0.019373034359445356,2.2773757691251775,0.24791629595259157,0.394310560869326,0.008586961073038623,1.052473399760708,0.017390183113448515,1.714646327376234
Break-even inflation (10-year),breakeven10,pp,0.014181344242398008,3.445529520030059,0.025926520997429144,0.7169899318223211,0.007773763684903759,1.5201022828433817,0.010703266804232423,1.9286574434917687
S&P 500,spx,pct,-0.650336636983384,-2.9639906965679352,-0.4885369324013636,-0.3336585020922139,-0.46194803658315636,-2.576856819792326,-0.751700815091752,-3.796712635126551
BBB yield spread,bbb,pp,0.00830831629909094,2.908864830753243,0.006037305798338504,0.5403110927414585,0.004798294348401449,1.699090043956647,0.008150085743117652,3.7816649176606236
High-yield yield spread,hy,pp,0.047944731321392625,3.610470004834364,0.07212391626468631,1.3210311638544059,0.031026982027796624,2.5069323600755475,0.048249996622956204,4.587767465604508
Gold price,gold,$,-36.63328780397853,-1.897202106413458,305.55172631223303,0.8728707350257972,-18.02243151373428,-0.8174899014936748,-11.681369174394444,-0.5781676182695068
Dollar (broad index),dollar,pct,0.25716338149532236,3.2419334208282535,-0.07116660086433962,-0.16078445918214768,0.24158247865447324,5.238145504542939,0.2321932798094934,5.426179874684699
VIX,vix,vol,1.747565947071119,3.715849386976251,-2.4863444468757296,-0.28677402244370515,0.702223749300622,1.813149840051925,1.3439794969002647,2.8863220727962973
Euro Stoxx 50,stoxx,pct,-1.369738461970431,-4.469592889840174,-0.6627663626879028,-0.7575021147725173,-1.0073402332262047,-4.430775870604469,-1.1276369872078948,-5.249192297282411
Nikkei 225,nikkei,pct,-1.6490747207722127,-3.2845038097511945,-1.159400570729873,-1.2033589249091798,-1.478066984190041,-8.040637642611726,-1.1189140523850605,-3.4940204314575025
Tel Aviv 125,ta125,pct,0.06942654054631034,0.09804853378497436,1.2276816041128216,1.3969336108252197,0.31475465769961464,0.5758858545172512,-0.46391728429549856,-1.1781648921288193
MSCI EM equities,em,pct,-1.6509662999674701,-3.4534110778722034,0.8466353665215658,0.15590437645453972,-1.0984565423207742,-2.8246690245448436,-1.2256672275955975,-3.1112984239084414
Swiss franc per dollar,chf,pct,0.23708656374149537,2.361606220910872,0.16295679454012338,0.26272240291542326,0.08294939245630614,1.0796326800313611,0.1227671273752904,1.9680306382352137
US energy equities (XLE),energy,pct,0.9581715282023022,3.1744835925670554,-0.22128743864568678,-0.1386868148382065,0.6509999592364959,2.031899436902665,0.6472032448189957,2.1428246014761383
US airlines (JETS),airlines,pct,-1.3593079410788445,-2.8306353824029387,2.2016844285986163,0.29423908150648675,-1.1284807907890027,-3.4074816017175293,-1.5206209500050791,-3.918292255763813
Aerospace & defence (ITA),defence,pct,-0.5540834801112073,-1.0070904527823825,-1.0907247377366838,-0.7455961013843908,-0.6627964848551982,-2.4607177789683714,-0.7847052600128185,-2.404522950827445
