variable,column,units,beta,se,t,p,n,r2
Two-year Treasury yield,y2,pp,0.01235842293906807,0.011898138441724854,1.0386854212192618,0.29895106359667956,173,0.006145152921872454
Ten-year Treasury yield,y10,pp,0.007433691756272323,0.01131581765367411,0.6569292634243441,0.5112264008968228,173,0.002767025141067636
Break-even inflation (10-year),breakeven10,pp,0.00921146953405004,0.004970492050408002,1.853230915698561,0.06384926826464062,173,0.01762730953276892
S&P 500,spx,pct,0.04226265667844402,0.25257170551691605,0.16732933957091037,0.8671109199322151,173,0.00023609997551199413
BBB yield spread,bbb,pp,-0.0028422939068100377,0.003716754726167123,-0.7647246364683131,0.44443553268479696,173,0.005476308538073793
High-yield yield spread,hy,pp,-0.008759856630824365,0.017784709358992113,-0.4925498895710264,0.6223306625998541,173,0.002764710617112476
Oil price (Brent front-month),brent,$,1.7372249698980744,1.2410215549262984,1.39983464670865,0.1615628400575826,173,0.01911131601580207
Gold price,gold,$,-8.21289893803204,22.727842711823588,-0.36135849064810216,0.7178314741329384,173,0.0007360028541806285
Dollar (broad index),dollar,pct,0.08604259968002181,0.09200249980797197,0.9352202370545399,0.3496748113625916,173,0.008734322684129658
VIX,vix,vol,0.08753059653825654,0.5940222816855415,0.1473523792573706,0.8828538909801932,173,0.00028637506825157644
Euro Stoxx 50,stoxx,pct,-0.2916211108252271,0.45777480106976803,-0.6370405495098059,0.5240984311629295,166,0.006999552333685988
Nikkei 225,nikkei,pct,-0.17038815808263122,0.6868619174904078,-0.2480675573122173,0.8040821366987138,154,0.0007931752276956194
Tel Aviv 125,ta125,pct,-0.1987379076695563,0.552560296929312,-0.35966736802116,0.7190958977027254,155,0.002127311326801329
MSCI EM equities,em,pct,-0.3111058769846036,0.6050514601064408,-0.5141808548480715,0.6071255517996397,173,0.0028427768059314795
Swiss franc per dollar,chf,pct,0.17055162369302568,0.12303266799997761,1.3862303928340132,0.16567656375883877,173,0.011191906642718186
US energy equities (XLE),energy,pct,-0.2609766729465959,0.42092088810311545,-0.6200135947700055,0.5352488366152139,173,0.0030013625588982684
US airlines (JETS),airlines,pct,-0.5651914697825118,0.5838835536173066,-0.9679866238413591,0.33305105009480807,173,0.006110118811133436
Aerospace & defence (ITA),defence,pct,-0.0674587654913457,0.4763815748560742,-0.14160657979210584,0.8873907693895804,173,0.00017504140934254675
