variable,column,het_heuristic_coef,het_heuristic_t,het_classifier_coef,het_classifier_t,event_study_beta,event_study_t,sign_het_heuristic,sign_het_classifier,sign_event_study,all_signs_agree,sig_het_heuristic,sig_event_study
Two-year Treasury yield,y2,0.0180799623472656,1.6833306006157815,0.1648165097301499,0.2833879155321374,0.012358422939068,1.0386854212192618,1.0,1.0,1.0,True,False,False
Ten-year Treasury yield,y10,0.0193730343594453,2.2773757691251775,0.2479162959525915,0.394310560869326,0.0074336917562723,0.6569292634243441,1.0,1.0,1.0,True,True,False
Break-even inflation (10-year),breakeven10,0.014181344242398,3.445529520030059,0.0259265209974291,0.7169899318223211,0.00921146953405,1.853230915698561,1.0,1.0,1.0,True,True,False
S&P 500,spx,-0.650336636983384,-2.9639906965679352,-0.4885369324013636,-0.3336585020922139,0.042262656678444,0.1673293395709103,-1.0,-1.0,1.0,False,True,False
Euro Stoxx 50,stoxx,-1.369738461970431,-4.469592889840174,-0.6627663626879028,-0.7575021147725173,-0.2916211108252271,-0.6370405495098059,-1.0,-1.0,-1.0,True,True,False
High-yield yield spread,hy,0.0479447313213926,3.610470004834364,0.0721239162646863,1.321031163854406,-0.0087598566308243,-0.4925498895710264,1.0,1.0,-1.0,False,True,False
BBB yield spread,bbb,0.0083083162990909,2.908864830753243,0.0060373057983385,0.5403110927414585,-0.00284229390681,-0.7647246364683131,1.0,1.0,-1.0,False,True,False
VIX,vix,1.747565947071119,3.715849386976251,-2.4863444468757296,-0.2867740224437051,0.0875305965382565,0.1473523792573706,1.0,-1.0,1.0,False,True,False
Dollar (broad index),dollar,0.2571633814953223,3.2419334208282535,-0.0711666008643396,-0.1607844591821476,0.0860425996800218,0.93522023705454,1.0,-1.0,1.0,False,True,False
Gold price,gold,-36.63328780397853,-1.897202106413458,305.55172631223303,0.8728707350257972,-8.21289893803204,-0.3613584906481021,-1.0,1.0,-1.0,False,False,False
