variable,column,units,group,var_L,var_H,predicted_change,pct_var_H_days,pct_var_all_days
Two-year Treasury yield,y2,pp,US (paper),0.0024333333333333277,0.0025666666666666646,0.00031978656762702217,12.45921692053334,1.4087513992379856
Ten-year Treasury yield,y10,pp,US (paper),0.0026055555555555567,0.0021888888888888917,0.00036716432050935133,16.774004490274912,2.030401772401948
Break-even inflation (10-year),breakeven10,pp,US (paper),0.000483333333333331,0.00046666666666666807,0.0001967433096653909,42.15928064258363,4.557760069468566
S&P 500,spx,pct,US (paper),0.6664165532294049,1.0689093843311601,0.4137534384340544,38.70799943373581,6.065489223816336
BBB yield spread,bbb,pp,US (paper),0.00013888888888888753,0.00023888888888888888,6.752913984556876e-05,28.26801202837762,5.107245870673286
High-yield yield spread,hy,pp,US (paper),0.0017444444444444393,0.005444444444444446,0.002248779909548376,41.30412078762322,9.039311829359264
Oil price (Brent front-month),brent,$,US (paper),4.6983427707325776,29.155455362627336,,,
Gold price,gold,$,US (paper),7981.637328058481,8242.092014991575,1312.8556275718654,15.928669871482954,1.5988482107261803
Dollar (broad index),dollar,pct,US (paper),0.0584255069695789,0.1473670423315851,0.06469689375985388,43.90187435144542,8.514840685633608
VIX,vix,vol,US (added),1.281066641320649,6.043750032849301,2.987667901549764,49.43400844361592,12.463839948013554
Euro Stoxx 50,stoxx,pct,Global,1.0351320808547446,3.4610608388114623,1.835441199297874,53.031174104647334,16.762914911457592
Nikkei 225,nikkei,pct,Global,3.5034153491506723,7.957957498200476,2.660393283918061,33.43060432931004,8.209027523197621
Tel Aviv 125,ta125,pct,Global,1.0701556116718514,3.838655622309135,0.004715374872906339,0.12283922645996087,0.027721608047068347
MSCI EM equities,em,pct,Global,5.057938606053911,6.20952126977463,2.6665000184538927,42.94211908788053,8.696959873353048
Swiss franc per dollar,chf,pct,Global,0.18513624230900094,0.2701789929309901,0.05498940981783002,20.35295535795989,2.358845198403514
US energy equities (XLE),energy,pct,Sector,1.2540097861836308,2.9183503398936548,0.8981558392949224,30.776148669239326,4.314978068434673
US airlines (JETS),airlines,pct,Sector,2.796052884481534,5.746997779663785,1.807593963534256,31.45283907939851,3.8586166399864936
Aerospace & defence (ITA),defence,pct,Sector,2.6187084015215523,3.777588927575866,0.3003416609152226,7.950617885465802,1.2894054259136563
