variable,column,rank_stat,p_value,ci_low,ci_high,ci_excludes_zero,first_stage_F_w1,first_stage_F_w2,t_w3
Two-year Treasury yield,y2,-0.9036379380590898,0.278,-3.3116966492150035,0.4717338412995077,False,38.207963669655705,1.5774158519838075,1.6833306006157815
Ten-year Treasury yield,y10,-1.0981811783739832,0.2585,-3.88460470135299,0.4342588068854482,False,38.207963669655705,1.4037006317501575,2.2773757691251775
Break-even inflation (10-year),breakeven10,-0.1456092038300274,0.6265,-0.9204604811129562,0.48270563115745213,False,38.207963669655705,5.439514254784552,3.445529520030059
S&P 500,spx,-0.5538335411933772,0.958,-29.65037794095245,25.045553124324417,False,38.207963669655705,7.285707410572627,-2.9639906965679352
BBB yield spread,bbb,0.190646462049024,0.4295,-0.21616115538889175,0.8330390997867534,False,38.207963669655705,4.696912403131358,2.908864830753243
High-yield yield spread,hy,0.5135150987887895,0.4915,-0.7155273602941483,2.53078255850312,False,38.207963669655705,8.757143334430387,3.610470004834364
Gold price,gold,1264.9745861004747,0.2775,-792.3215352763025,4589.119050565236,False,38.207963669655705,1.9858498570591312,-1.897202106413458
Dollar (broad index),dollar,-1.042746797895778,0.7525,-8.553705299263155,6.585230497455193,False,38.207963669655705,10.676364181068614,3.2419334208282535
VIX,vix,18.695512863527572,0.346,-23.005916297481928,65.26369183951967,False,38.207963669655705,11.515275348395354,3.715849386976251
Euro Stoxx 50,stoxx,-5.180726553318319,0.692,-35.12266012532147,22.55921650320225,False,44.671877358401915,16.16084694162965,-4.469592889840174
Nikkei 225,nikkei,-6.24449935608051,0.7615,-62.206563759022195,45.05660830509175,False,34.931206820121936,5.983647988567742,-3.2845038097511945
Tel Aviv 125,ta125,2.901654984367449,0.8385,-23.257732313462224,38.71841072623188,False,31.59973681011646,0.002340762061097021,0.09804853378497436
MSCI EM equities,em,-6.188989745237656,0.804,-69.03741394625291,53.55350509124835,False,38.207963669655705,7.441349271058733,-3.4534110778722034
Swiss franc per dollar,chf,0.45537647488594324,0.9385,-11.843325511830605,17.62817584153617,False,38.207963669655705,3.327046811674445,2.361606220910872
US energy equities (XLE),energy,-17.112045356603478,0.2495,-54.816173427460484,9.468248419818485,False,38.207963669655705,7.846831011461498,3.1744835925670554
US airlines (JETS),airlines,36.645086333874026,0.0805,2.5493393565332814,93.21733002235412,True,38.207963669655705,7.840189367258242,-2.8306353824029387
Aerospace & defence (ITA),defence,38.48257078941429,0.135,-5.347257983867298,107.45176100917497,False,38.207963669655705,1.7134309740022222,-1.0070904527823825
