variable,column,units,mean_Bad-news,n_Bad-news,t_Bad-news_vs_No-news,p_Bad-news_vs_No-news,mean_Good-news,n_Good-news,t_Good-news_vs_No-news,p_Good-news_vs_No-news,mean_Mixed,n_Mixed,t_Mixed_vs_No-news,p_Mixed_vs_No-news,mean_No-news,n_No-news
Two-year Treasury yield,y2,pp,0.021249999999999988,8,0.12213716772882616,0.9045163545194724,-0.007499999999999925,4,-1.5362479741713113,0.1628968471295235,0.029999999999999864,6,0.3890899848094071,0.7090138701714714,0.018888888888888837,18
Ten-year Treasury yield,y10,pp,0.011249999999999899,8,-0.48984170643183117,0.6326297805211958,-1.9992688060632702e-16,4,-1.6347960544162599,0.11994077982139377,0.018333333333333365,6,-0.12523619165242808,0.9037210724238208,0.021666666666666737,18
Break-even inflation (10-year),breakeven10,pp,0.013749999999999865,8,1.5274522249800333,0.14642267437155151,0.014999999999999725,4,2.382827230969093,0.027709769123483125,-0.0016666666666666982,6,-0.1892657510537629,0.8547292721334458,0.0005555555555556506,18
S&P 500,spx,pct,-0.14284915719198626,8,0.057096378684809074,0.955280426356218,0.7933292170263118,4,2.2874542774219835,0.072925293491074,-0.023207828260368712,6,0.22395064005651927,0.8300882920841746,-0.1623955276637692,18
BBB yield spread,bbb,pp,0.0,8,-0.07778653419859319,0.9395677316925098,-0.005,4,-1.368300659955719,0.2010454253299942,-0.005,6,-0.7183067243179041,0.49700870005446757,0.0005555555555555615,18
High-yield yield spread,hy,pp,0.0012499999999999734,8,-0.4305020290925746,0.6778628548998298,-0.009999999999999901,4,-1.1013887871243793,0.328965449528693,-0.021666666666666654,6,-1.087663349324718,0.31959518615813387,0.015555555555555553,18
Oil price (Brent front-month),brent,$,3.4287490844726562,8,2.156775585548391,0.05620859502585135,0.11249923706054688,4,-0.5232621549294086,0.6327610802333716,0.7833328247070312,6,-0.08075602979448983,0.9386579735689298,1.055556403266059,18
Gold price,gold,$,-13.21246337890625,8,0.7908653909573243,0.4433934555419015,25.75,4,1.7656806274947856,0.13481273989980005,-20.250040690104168,6,0.3950116298204805,0.7054822063305671,-41.644436306423614,18
Dollar (broad index),dollar,pct,0.2128740974007351,8,0.5409033062527747,0.6017466842764281,-0.05430220857953747,4,-2.437916913684325,0.04386442578826425,-0.03549260922036668,6,-0.8191662347810539,0.44637830354806357,0.13759677780618826,18
VIX,vix,vol,0.6875,8,0.5334626428819805,0.6083581536828264,-0.8499999046325684,4,-1.9982592099364327,0.08903016817903539,-0.09166638056437175,6,-0.16644366820325493,0.8736030550999443,0.09444427490234375,18
Euro Stoxx 50,stoxx,pct,-0.9836191884644527,7,-0.7647827735581979,0.4680393764113805,0.1341416243973298,4,1.6168725042947876,0.14326861544268682,0.5064815570070288,6,0.9145202063462462,0.3985327576617913,-0.43462654017293323,17
Nikkei 225,nikkei,pct,-1.4593370793948361,8,-0.7936055605365188,0.44476147782453285,1.3403453265181997,4,1.3650052040564338,0.2483772448714386,0.8979484399658438,6,1.1886544937103576,0.27541367959237284,-0.6259700074513596,15
Tel Aviv 125,ta125,pct,0.24016641783566336,5,0.43318512977518464,0.6855780863011063,-0.6360170198436117,3,-0.21934517900946374,0.8452228332840079,-0.3164609360417159,5,0.07141645571345913,0.9446330248518121,-0.348463609151735,14
MSCI EM equities,em,pct,-0.8153894358193843,8,-0.32393148818454237,0.7509372788484778,1.0827184110670518,4,1.6970220413975123,0.1383774140859093,-0.08867224197775163,6,0.277602392169523,0.78994516325333,-0.5056808322067563,18
Swiss franc per dollar,chf,pct,0.3236329414819966,8,1.182087065736498,0.26280215420359565,0.033726945643686175,4,-0.125041424621175,0.9023354911691368,0.05385501583884028,6,0.013785182795272348,0.989373773877401,0.050431282097769384,18
US energy equities (XLE),energy,pct,0.06344286645976194,8,-0.6335851728340073,0.5361060437178817,-1.2743152632801957,4,-1.9234315265096322,0.13349192128413923,0.736210246059882,6,0.394134720183704,0.7077202646234788,0.34207506987253655,18
US airlines (JETS),airlines,pct,-1.4353779861068519,8,-1.5820665968037717,0.1396696881808011,0.42307033145438655,4,0.5875625051562351,0.5866661512014797,0.1778527986812144,6,0.25641032273065234,0.8061595975154113,-0.16584619727108876,18
Aerospace & defence (ITA),defence,pct,-0.1935231186994027,8,0.7438876621945397,0.47376520143769585,0.4761231905546031,4,1.8161662410444144,0.12805546540368784,-0.22565000012334155,6,0.5238504427855877,0.6187573646334797,-0.7950396640844349,18
