variable,column,units,d_from_bad_vs_no (n=8 vs 18),d_from_good_vs_no (n=4 vs 18),same_sign
Two-year Treasury yield,y2,pp,0.011773606760909475,-0.08142939065663432,False
Ten-year Treasury yield,y10,pp,0.004348227339085841,-0.07195630566142014,False
Break-even inflation (10-year),breakeven10,pp,0.017125676167463105,-0.010012722072507994,False
S&P 500,spx,pct,-0.22306133416480456,0.14523847034813414,False
BBB yield spread,bbb,pp,0.008348691257768078,0.014145282613290865,True
High-yield yield spread,hy,pp,0.04473167863643577,0.024964472638613292,True
Gold price,gold,$,15.506271338157392,-40.61968176722931,False
Dollar (broad index),dollar,pct,0.23082907477722303,-0.038728844439388524,False
VIX,vix,vol,1.6675445138832992,0.3134604757170747,True
Euro Stoxx 50,stoxx,pct,-1.5470843655268882,-0.302777381955237,True
Nikkei 225,nikkei,pct,-1.2377925519307498,-5.890293626709315,True
Tel Aviv 125,ta125,pct,0.5066697602245664,0.5539719713462841,True
MSCI EM equities,em,pct,-0.7804241580441184,-1.5676197707315422,True
Swiss franc per dollar,chf,pct,0.06521645946336879,0.2538295217303809,True
US energy equities (XLE),energy,pct,-0.241022157152519,2.2678928965604412,False
US airlines (JETS),airlines,pct,-1.0094459646720062,-0.7211388191917979,True
Aerospace & defence (ITA),defence,pct,0.8643658527184426,2.3188539711322944,True
